,,leroy merlin,,,ABC da construção,,,Telha Norte,,,Pedreiro,"R$ 13.000,00"
Conjunto de tomada dupla,2,11.29,"R$ 22,58",https://www.leroymerlin.com.br/conjunto-2-tomadas-energia-10a-4x2-branco-stella-steck_89281521,,"R$ 0,00",A,"R$ 23,72","R$ 47,44",https://www.telhanorte.com.br/conjunto-2-tomadas-2p-t-10a-250v-miluz-schneider-1549960/p,,
Nicho para shampoo ,1,139.9,"R$ 139,90",https://www.leroymerlin.com.br/nicho-em-porcelanato-para-banheiro-porta-shampoo-preto-liso_1571751597,,"R$ 0,00",A,,"R$ 0,00",A,,
Porta papel higiênico,1,19.9,"R$ 19,90",https://www.leroymerlin.com.br/suporte-papeleira-para-papel-higienico-com-tampa-oliveira-em-aco-inox_1570126933,60.9,"R$ 60,90",https://www.abcdaconstrucao.com.br/produto/papeleira-atria-101-sem-tampa-cromada-meber-80559,"R$ 24,90","R$ 24,90",https://www.telhanorte.com.br/porta-papel-higienico-mondo-verona-cromado-cristal-aquaplas-683434/p,,
Sifão,2,11.9,"R$ 23,80",https://www.leroymerlin.com.br/sifao-universal-flexivel-sanfonado-branco-instala-facil-1118_1566926426,5.9,"R$ 11,80",https://www.abcdaconstrucao.com.br/produto/sifao-extensivel-universal-branco-amanco-88805,"R$ 11,19","R$ 22,38",https://www.telhanorte.com.br/sifao-sanfonado-663mm-propileno-branco-ssum-astra-1734008/p,,
Kit vaso convencional ,1,674.9,"R$ 674,90",https://www.leroymerlin.com.br/kit-vaso-sanitario-convencional-para-descarga-de-parede-com-assento-branco-vertical-lille-sensea_92327550,748.99,"R$ 748,99",https://www.abcdaconstrucao.com.br/produto/kit-vaso-sanitario-convencional-com-assento-e-itens-de-instalacao-gali-branco-docol-108386,"R$ 239,90","R$ 239,90",https://www.telhanorte.com.br/bacia-convencional-izy-gelo-deca-789160/p,,
FRETE,,683.86,"R$ 0,00",A,,"R$ 0,00",A,,"R$ 0,00",A,,
Total,,,,,,,,"R$ 2.510,26",,,,
,,,,,,,,,,,,
,,,Ouro Pedras ,Império das Pedras,,,,,,,,
Lvatório,,990.0,"R$ 1.285,00",,930.0,"R$ 5.185,00",,,,,,
Nicho,,,"R$ 2.133,00","R$ 1.320,00",,,,,,,,
Divisórias,,,"R$ 2.935,00","R$ 4.880,00",,,,,,,,
Frete,,,,,,,,,,,,
TOTAL,,,"R$ 6.353,00","R$ 6.200,00",,,,,,,,
,,,,,,,,,,,,
,,,Itacolomy,VidroBox,,Jj Vidros,,,,,,
Espelho oval corpo inteiro,,350.0,"R$ 420,00","R$ 450,00",,"R$ 420,00",,,,,,
Espelho para pia. ,,310.0,"R$ 770,00","R$ 400,00",,"R$ 350,00",,,,,,
Portas,,,"R$ 890,00","R$ 1.000,00",,,,,,,,
Frete,,0.0,"R$ 0,00",,,,,,,,,
TOTAL,,660.0,"R$ 2.080,00","R$ 1.850,00",0.0,"R$ 770,00",,,,,,
,,,,,,,,,,,,
,,,,ABC da construção,,Koraji,,Tiradentes Material de Construção,,,,
,,,Valor Total,Valor Unitário,,Valor Unitário,Valor Total,Valor Unitário,Valor Total,,,
Porcelanato ripado branco,,,J,"R$ 100,90",403.6,C,,A,A,,,
Porcelanato rosa,,,J,"R$ 275,90",,C,,A,A,,,
Porcelanato piso,,,J,"R$ 62,90",,C,,A,A,,,
Porcelanato paredes,,,J,"R$ 62,90",0.0,C,,A,A,,,
Kit vaso convencional,,,J,"R$ 748,99",748.99,C,,A,A,,,
Cuba de sobrepor com mesa,,456.5,"R$ 913,00",,,C,,A,A,,,
TOTAL,,913.0,,"R$ 3.431,79",,"R$ 0,00",,"R$ 0,00",,,,
,,,,,,,,,,,,
,,,ABC ,MadeiraMadeira,,,,,,,,
Porta,,443.31,"R$ 518,84","R$ 666,64",440.0,,,,,"33256,69",,
Frete ,,159.99,"R$ 100,00","R$ 0,00",,,,,,,,
link,,,https://www.abcdaconstrucao.com.br/produto/mgm-kit-porta-melaminica-madeira-lisa-semi-oca-abertura-direita-215x74x7cm-branco-108016,https://www.madeiramadeira.com.br/kit-porta-de-madeira-lisa-215x74cm-com-batente-de-mdf-ultra-10cm-melaminico-mgm-705730.html,,,,,,,,
